id,category,question,answer,source
1,请假,怎么请病假?,病假需辅导员签字的假条+校医院证明，3天内交教务处审批，超3天需二级学院分管领导审批,学生手册P23
2,请假,奖学金需要什么条件?,学年平均绩点≥3.0，无挂科记录，体测成绩合格，无违纪处分,学生手册P45
3,请假,事假申请流程是什么?,本人提前提交书面事假申请，写明事由与请假时长，辅导员初审；1-3天辅导员审批，4-7天系部主任审批，7天以上教务处审批,学生手册P24
4,请假,请假结束后需要做什么?,返校当日主动到辅导员处办理销假手续，未按时销假超出天数按旷课处理,学生手册P23
5,请假,口头请假有效吗?,不生效，所有请假必须提交书面或线上系统申请并审批完成，事后补假一般不予认可,班级群通知截图
6,奖学金,国家励志奖学金评选要求?,在校家庭经济困难认定通过，绩点专业前20%，无挂科，无违纪，体测合格,学校官网-学生处评奖评优专栏
7,奖学金,违纪处分会影响奖学金吗?,受警告及以上纪律处分的学生，本学年直接失去所有奖学金参评资格,学生手册P47
8,奖学金,奖学金什么时候申报?,每学年9-10月份启动上一学年奖学金申报，以班级为单位统一收集材料上报,班级群通知截图
9,宿舍报修,宿舍物品损坏怎么报修?,方式1：前往宿舍楼下宿管值班室现场登记报修；方式2：登录校园后勤线上报修系统提交故障信息,学校官网-总务处宿舍管理板块
10,宿舍报修,报修后多久会上门维修?,常规水电故障24小时内安排人员上门，大件家具、改造类故障3-5个工作日处理,学生宿舍管理规定P12
11,宿舍报修,人为损坏宿舍设施需要自费维修吗?,经查实属于个人或宿舍成员人为损毁，维修费用由相关责任人全额承担,学生宿舍管理规定P13
12,宿舍报修,宿舍停水该向谁反馈?,先联系楼栋宿管登记，大面积停水可直接拨打后勤维修中心电话报备,班级群通知截图
13,一卡通补办,校园卡丢失第一步做什么?,先登录校园一卡通小程序或线下卡务中心办理挂失，避免余额被盗刷,学校官网-后勤一卡通服务指南
14,一卡通补办,补办一卡通流程是什么?,挂失满24小时后，携带本人学生证/身份证前往校园卡务中心，缴纳补卡工本费办理新卡,学生手册P62
15,一卡通补办,补办一卡通收费多少?,补卡工本费15元每张，新卡当场可取，原卡余额自动转入新卡,学校官网-后勤一卡通服务指南
16,一卡通补办,一卡通挂失后可以解除挂失吗?,卡片找回且未完成补卡，可携带证件到卡务中心办理解挂恢复使用,学生手册P63
17,选课退课,每学期选课开放时间?,每学期开学第一周为首轮选课时间，第二周开放补选与退选窗口期,学校官网-教务处选课通知
18,选课退课,退课有没有截止时间?,开学第二周周五为退课最后截止日，截止后无法自主退课，弃考会记挂科,学校官网-学分制学籍管理办法
19,选课退课,选课选错课程怎么处理?,在退课窗口期内登录教务系统自主退课，再重新选择对应课程；窗口期结束需提交书面申请经教务处审批,教务系统使用须知
20,选课退课,选修课不及格需要重修吗?,选修课挂科不计入必修课挂科统计，可在下一学期重新选读同类课程补齐学分,学分制学籍管理办法P29
21,选课退课,高峰期教务系统选课卡顿怎么办?,避开凌晨、中午高峰时段重试，或前往机房有线网络登录，仍异常联系教务处运维,班级群通知截图
22,请假,节假日离校需要请假报备吗?,寒暑假、法定长假离校需在班级统计表登记去向，非长假离校外出需正常履行请假手续,班级群通知截图
